næring (SN2007),2016,2017,2018,2019,2020,2021
Annen tjenesteyting,27634.0,28094.0,28416.0,28717.0,28072.0,27518.0
Bergverksdrift og utvinning,37015.0,33646.0,35582.0,39086.0,39465.0,64276.0
Bygge- og anleggsvirksomhet,234624.0,245825.0,254637.0,260560.0,260587.0,263672.0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning",,,,,,14141.0
"Faglig, vitenskapelig og teknisk tjenesteyting",134760.0,135871.0,140761.0,144231.0,142990.0,143451.0
Forretningsmessig tjenesteyting,131951.0,138825.0,147538.0,153499.0,130114.0,130123.0
Helse- og sosialtjenester,,,,,,102601.0
Industri,224995.0,221939.0,223438.0,224896.0,221973.0,220229.0
Informasjon og kommunikasjon,95022.0,95741.0,98861.0,104055.0,100766.0,104082.0
"Kultur, underholdning og fritid",,,,,,22333.0
Omsetning og drift av fast eiendom,32478.0,32668.0,31875.0,31982.0,31574.0,30226.0
Overnattings- og serveringsvirksomhet,116595.0,119263.0,121612.0,123899.0,97254.0,92801.0
Transport og lagring,153978.0,151829.0,150415.0,152000.0,139514.0,137264.0
Undervisning,,,,,,28187.0
"Vann, avløp, renovasjon",9174.0,9442.0,9369.0,9825.0,9854.0,9868.0
"Varehandel, reparasjon av motorvogner",384637.0,390361.0,393278.0,390309.0,372258.0,376493.0
