næring (SN2007),2017,2018,2019,2020,2021,pct_change_1y,pct_change_3y
Annen tjenesteyting,699.4,864.1,1641.4,737.4,633.7,-55.07493603021811,5.43322848155563
Bergverksdrift og utvinning,4138.9,3305.1,5587.1,7666.4,5142.7,37.216087057686444,85.22795911957284
Bygge- og anleggsvirksomhet,21701.0,26124.7,26550.3,24434.7,27742.0,-7.968271544954286,12.597115340306896
"Faglig, vitenskapelig og teknisk tjenesteyting",7760.9,6281.3,6859.6,4911.5,6473.0,-28.399615137908917,-36.71481400353051
Forretningsmessig tjenesteyting,13699.7,19895.6,18165.2,20754.9,20154.4,14.25638033162311,51.49893793294744
Industri,25702.6,27687.5,35521.5,29235.9,31735.0,-17.695198682488066,13.746858294491627
Informasjon og kommunikasjon,11993.8,13311.8,15802.9,18558.4,21717.5,17.436673015712323,54.73327886074475
Omsetning og drift av fast eiendom,64754.6,64155.7,87901.5,65764.1,79209.4,-25.18432563721893,1.5589626065175333
Overnattings- og serveringsvirksomhet,3331.4,3264.3,3589.7,3103.2,3571.7,-13.552664568069762,-6.849972984330921
Transport og lagring,32945.0,44408.6,65664.7,43574.8,47454.7,-33.64044913020236,32.26529063590835
"Vann, avløp, renovasjon",1527.4,2038.1,2279.9,2197.3,2040.3,-3.6229659195578745,43.858845096241986
"Varehandel, reparasjon av motorvogner",16553.7,17963.4,18904.1,20330.6,21528.0,7.545982088541647,22.81604716770267
