næring (SN2007),2017,2018,2019,2020,pct_change_1y,pct_change_3y
Annen tjenesteyting,3483.4,3529.6,4090.0,3858.1,-5.669926650366753,10.756731928575514
Bergverksdrift og utvinning,7213.7,4556.0,10383.6,14885.4,43.35490581301282,106.34903031731291
Bygge- og anleggsvirksomhet,46790.0,47095.7,47396.7,52113.9,9.952591636126584,11.378285958538159
"Faglig, vitenskapelig og teknisk tjenesteyting",26891.7,30469.0,40991.6,41181.5,0.4632656446686756,53.13832892676922
Forretningsmessig tjenesteyting,23626.0,25836.8,26283.6,29142.9,10.878646760717725,23.350969271141974
Industri,63156.3,58068.2,60833.9,70314.4,15.584238393395777,11.333944515432325
Informasjon og kommunikasjon,37445.1,38404.6,45307.9,46590.3,2.8304114734957864,24.422955206422216
Omsetning og drift av fast eiendom,82318.0,80194.9,85951.1,90023.6,4.738159255669783,9.360771641682252
Overnattings- og serveringsvirksomhet,5499.2,4854.7,5561.2,1241.4,-77.67747968064447,-77.42580739016584
Transport og lagring,52536.5,48000.0,57020.2,38203.3,-33.00041038088256,-27.282365593444556
"Vann, avløp, renovasjon",3202.1,2568.6,2576.8,3346.8,29.88202421608197,4.518909465663157
"Varehandel, reparasjon av motorvogner",60645.7,60636.7,64239.6,92630.4,44.19516933480283,52.740260232794746
