næring (SN2007),2017,2018,2019,2020
Annen tjenesteyting,7446.9,7697.4,8021.3,7298.7
Bergverksdrift og utvinning,31991.3,32317.1,33892.9,36235.8
Bygge- og anleggsvirksomhet,128900.7,139274.7,149197.4,149568.6
"Elektrisitets-, gass-, damp- og varmtvannsforsyning",,,,
"Faglig, vitenskapelig og teknisk tjenesteyting",89373.4,97020.2,102319.7,102634.5
Forretningsmessig tjenesteyting,56674.0,62630.2,66290.2,59294.6
Helse- og sosialtjenester,,,,
Industri,136720.6,140735.0,147202.8,145454.0
Informasjon og kommunikasjon,71135.3,75376.3,82292.6,82090.8
"Kultur, underholdning og fritid",,,,
Omsetning og drift av fast eiendom,15501.3,16154.8,16462.6,17424.0
Overnattings- og serveringsvirksomhet,29876.2,31309.5,33773.8,25868.1
Transport og lagring,83474.8,74519.9,76254.4,69978.1
Undervisning,,,,
"Vann, avløp, renovasjon",5337.8,5411.0,5934.1,6061.9
"Varehandel, reparasjon av motorvogner",161720.8,167924.9,173393.2,172486.9
