næring (SN2007),2017,2018,2019,2020,2021,pct_change_1y,pct_change_3y
Annen tjenesteyting,7446.9,7697.4,8021.3,7298.7,8248.5,-9.008514829267078,-1.990089836039155
Bergverksdrift og utvinning,31991.3,32317.1,33892.9,36235.8,37077.7,6.912657223194252,13.267669647685487
Bygge- og anleggsvirksomhet,128900.7,139274.7,149197.4,149568.6,159036.8,0.248797901303921,16.033970335304627
"Faglig, vitenskapelig og teknisk tjenesteyting",89373.4,97020.2,102319.7,102634.5,112527.8,0.30766313818355595,14.837860034417405
Forretningsmessig tjenesteyting,56674.0,62630.2,66290.2,59294.6,64503.5,-10.552992750059587,4.623989836609388
Industri,136720.6,140735.0,147202.8,145454.0,153623.7,-1.188020880037599,6.387771850035762
Informasjon og kommunikasjon,71135.3,75376.3,82292.6,82090.8,90753.3,-0.24522253519757564,15.400933151332751
Omsetning og drift av fast eiendom,15501.3,16154.8,16462.6,17424.0,18957.2,5.839903781905664,12.403475837510403
Overnattings- og serveringsvirksomhet,29876.2,31309.5,33773.8,25868.1,29434.6,-23.407789469944174,-13.415695436501307
Transport og lagring,83474.8,74519.9,76254.4,69978.1,74146.5,-8.23073816068317,-16.16859219788487
"Vann, avløp, renovasjon",5337.8,5411.0,5934.1,6061.9,6470.5,2.1536543030956645,13.565513882123703
"Varehandel, reparasjon av motorvogner",162221.5,168067.1,173527.0,172667.9,186261.6,-0.49508145706431694,6.439590313244548
