næring (SN2007),2017,2018,2019,2020,2021,pct_change_1y,pct_change_3y
Annen tjenesteyting,8303.3,8374.2,8432.5,8626.4,9792.2,2.299436703231539,3.8912239711921703
Bergverksdrift og utvinning,68769.9,84349.0,94992.6,100517.9,148917.3,5.816558342439304,46.16554626369967
Bygge- og anleggsvirksomhet,381907.1,412812.1,428746.6,423957.9,465220.1,-1.1169068162872775,11.010740570154386
"Faglig, vitenskapelig og teknisk tjenesteyting",119884.8,130877.9,140535.2,132617.2,146861.6,-5.634175637135752,10.620529041212912
Forretningsmessig tjenesteyting,102420.1,106365.9,114622.2,83382.7,82674.4,-27.25431897136855,-18.587562402301906
Industri,590278.9,633183.1,646306.2,613721.2,658255.5,-5.041727899252713,3.971393861444139
Informasjon og kommunikasjon,132141.1,140884.4,147085.3,156679.5,174240.2,6.522881620393073,18.56984692877537
Omsetning og drift av fast eiendom,65973.4,69628.9,72808.2,78305.5,86728.9,7.5503858081919395,18.692533657504406
Overnattings- og serveringsvirksomhet,48120.8,51189.4,53995.7,44053.7,50091.9,-18.412577297821862,-8.451854499509581
Transport og lagring,267881.1,291567.0,303561.9,255441.1,293550.0,-15.852055215097815,-4.643851320604542
"Vann, avløp, renovasjon",19733.8,22425.8,23505.2,25078.6,29807.1,6.693837959260063,27.084494623437962
"Varehandel, reparasjon av motorvogner",1404803.7,1497368.8,1551662.0,1624233.5,1852323.1,4.677017288558982,15.619961707105423
