næring (SN2007),2017,2018,2019,2020,2021,pct_change_1y,pct_change_3y
Annen tjenesteyting,10930.4,11227.0,12111.2,11156.9,12362.2,-7.879483453332458,2.07220229817755
Bergverksdrift og utvinning,39204.9,36873.1,44276.5,51121.2,995641.5,15.458990660960104,30.39492512415538
Bygge- og anleggsvirksomhet,175690.7,186370.4,196594.2,201682.5,211542.3,2.588224881507184,14.794067073555972
"Faglig, vitenskapelig og teknisk tjenesteyting",116265.1,127489.3,143311.3,143816.0,151810.3,0.35217041503357027,23.69662091203637
Forretningsmessig tjenesteyting,80300.0,88466.9,92573.8,88437.6,89586.8,-4.468002825853534,10.133997509339988
Industri,199876.9,198803.2,208036.7,215768.4,234100.9,3.7165077123411328,7.950643621148812
Informasjon og kommunikasjon,108580.4,113780.9,127600.5,128681.0,137337.8,0.8467835157385695,18.512180835583592
Omsetning og drift av fast eiendom,97819.3,96349.6,102413.6,107447.6,112694.9,4.915362803377676,9.842945103880329
Overnattings- og serveringsvirksomhet,35375.4,36164.2,39335.0,27109.5,33946.4,-31.080462692258802,-23.36623755491104
Transport og lagring,136011.3,122519.9,133274.6,108181.5,123875.4,-18.828118786325376,-20.46138813466233
"Vann, avløp, renovasjon",8539.9,7979.6,8510.9,9408.7,10874.3,10.548825623612078,10.173421234440694
"Varehandel, reparasjon av motorvogner",222366.4,228561.6,237632.9,265117.2,289769.0,11.565864827639615,19.225386569193926
